Detector Type;descriptorType;matcherType;descriptorFamily;selectorType;;;;;
SHITOMASI;BRISK;MAT_BF;DES_BINARY;SEL_KNN;;Total Time;% Matched KeyPts;Average of total time over 10 images;Average % of Matched Kepts over 10 images
Image Idx;num KeyPts;Detection time;num KeyPts Vehicle Rect;Descriptor Extraction time;num Matched KeyPts;Total Time;;;
0;1370;16.8268;125;1.92133;0;18.74813;0;13.27;65.54
1;1301;12.0168;118;1.30384;95;13.32064;80.50847458;;
2;1361;10.5828;123;1.77963;88;12.36243;71.54471545;;
3;1358;11.9633;120;1.24244;80;13.20574;66.66666667;;
4;1333;9.34587;120;1.22149;90;10.56736;75;;
5;1284;12.1943;113;1.61609;82;13.81039;72.56637168;;
6;1322;12.1092;114;1.6387;79;13.7479;69.29824561;;
7;1366;12.3395;123;1.69806;85;14.03756;69.10569106;;
8;1389;11.5479;111;1.21301;86;12.76091;77.47747748;;
9;1339;8.941;112;1.22586;82;10.16686;73.21428571;;
SHITOMASI;BRIEF;MAT_BF;DES_BINARY;SEL_KNN;;;;;
Image Idx;num KeyPts;Detection time;num KeyPts Vehicle Rect;Descriptor Extraction time;num Matched KeyPts;;;;
0;1370;8.78388;125;0.502392;0;9.286272;0;9.74;80.71
1;1301;8.69823;118;0.469861;115;9.168091;97.45762712;;
2;1361;9.29705;123;0.485158;111;9.782208;90.24390244;;
3;1358;8.74188;120;0.47371;104;9.21559;86.66666667;;
4;1333;11.6033;120;0.466456;101;12.069756;84.16666667;;
5;1284;9.29896;113;0.471098;102;9.770058;90.26548673;;
6;1322;8.72682;114;0.464503;102;9.191323;89.47368421;;
7;1366;8.66582;123;0.46437;100;9.13019;81.30081301;;
8;1389;8.69545;111;0.440115;109;9.135565;98.1981982;;
9;1339;9.67441;112;0.977923;100;10.652333;89.28571429;;
SHITOMASI;ORB;MAT_BF;DES_BINARY;SEL_KNN;;;;;
Image Idx;num KeyPts;Detection time;num KeyPts Vehicle Rect;Descriptor Extraction time;num Matched KeyPts;;;;
0;1370;10.9086;125;1.07501;0;11.98361;0;10.73;77.65
1;1301;8.69806;118;0.88511;106;9.58317;89.83050847;;
2;1361;8.637;123;0.893881;102;9.530881;82.92682927;;
3;1358;8.7513;120;0.911952;99;9.663252;82.5;;
4;1333;10.083;120;0.911748;102;10.994748;85;;
5;1284;11.5694;113;0.920726;103;12.490126;91.15044248;;
6;1322;8.8379;114;2.47097;97;11.30887;85.0877193;;
7;1366;11.2058;123;1.15084;98;12.35664;79.67479675;;
8;1389;8.67937;111;0.950534;104;9.629904;93.69369369;;
9;1339;8.87838;112;0.915501;97;9.793881;86.60714286;;
SHITOMASI;FREAK;MAT_BF;DES_BINARY;SEL_KNN;;;;;
Image Idx;num KeyPts;Detection time;num KeyPts Vehicle Rect;Descriptor Extraction time;num Matched KeyPts;;;;
0;1370;9.05015;125;31.8094;0;40.85955;0;42.03;65.66
1;1301;9.54835;118;31.5679;86;41.11625;72.88135593;;
2;1361;9.48799;123;31.455;90;40.94299;73.17073171;;
3;1358;9.09689;120;31.2726;86;40.36949;71.66666667;;
4;1333;12.5812;120;32.7573;88;45.3385;73.33333333;;
5;1284;9.20012;113;30.5079;86;39.70802;76.10619469;;
6;1322;8.91963;114;30.2982;80;39.21783;70.1754386;;
7;1366;12.6647;123;32.0336;81;44.6983;65.85365854;;
8;1389;8.88995;111;37.2786;86;46.16855;77.47747748;;
9;1339;11.3284;112;30.5772;85;41.9056;75.89285714;;
SHITOMASI;SIFT;MAT_BF;DES_HOG;SEL_KNN;;;;;
Image Idx;num KeyPts;Detection time;num KeyPts Vehicle Rect;Descriptor Extraction time;num Matched KeyPts;;;;
0;1370;8.76353;125;12.482;0;21.24553;0;26.7;79.24
1;1301;12.6113;118;15.0281;112;27.6394;94.91525424;;
2;1361;12.0017;123;15.1568;109;27.1585;88.61788618;;
3;1358;12.0579;120;15.7672;104;27.8251;86.66666667;;
4;1333;12.0601;120;15.7767;103;27.8368;85.83333333;;
5;1284;12.0566;113;15.6447;99;27.7013;87.61061947;;
6;1322;12.4374;114;15.7047;101;28.1421;88.59649123;;
7;1366;12.0914;123;15.3977;96;27.4891;78.04878049;;
8;1389;10.5092;111;12.0155;106;22.5247;95.4954955;;
9;1339;12.5518;112;16.9112;97;29.463;86.60714286;;
HARRIS;BRISK;MAT_BF;DES_BINARY;SEL_KNN;;;;;
Image Idx;num KeyPts;Detection time;num KeyPts Vehicle Rect;Descriptor Extraction time;num Matched KeyPts;;;;
0;305;11.144;45;0.595898;0;11.739898;0;9.84;52.72
1;348;8.47223;58;0.719942;31;9.192172;53.44827586;;
2;387;8.41265;74;0.860902;32;9.273552;43.24324324;;
3;460;8.49409;88;0.953231;43;9.447321;48.86363636;;
4;540;8.85081;124;1.24931;56;10.10012;45.16129032;;
5;412;8.49671;99;1.04269;60;9.5394;60.60606061;;
6;363;8.43979;72;0.827351;54;9.267141;75;;
7;757;8.48151;188;1.73189;40;10.2134;21.27659574;;
8;468;8.44993;115;1.23623;116;9.68616;100.8695652;;
9;387;8.87476;94;1.07427;74;9.94903;78.72340426;;
HARRIS;BRIEF;MAT_BF;DES_BINARY;SEL_KNN;;;;;
Image Idx;num KeyPts;Detection time;num KeyPts Vehicle Rect;Descriptor Extraction time;num Matched KeyPts;;;;
0;305;8.84953;45;0.419094;0;9.268624;0;9.24;52.5
1;348;8.80598;58;0.360555;29;9.166535;50;;
2;387;9.12451;74;0.390278;34;9.514788;45.94594595;;
3;460;9.62205;88;0.426567;45;10.048617;51.13636364;;
4;540;8.83406;124;0.477009;46;9.311069;37.09677419;;
5;412;8.69481;99;0.430736;55;9.125546;55.55555556;;
6;363;8.59936;72;0.340564;63;8.939924;87.5;;
7;757;8.51756;188;0.638363;39;9.155923;20.74468085;;
8;468;8.53449;115;0.45048;113;8.98497;98.26086957;;
9;387;8.43107;94;0.403294;74;8.834364;78.72340426;;
HARRIS;ORB;MAT_BF;DES_BINARY;SEL_KNN;;;;;
Image Idx;num KeyPts;Detection time;num KeyPts Vehicle Rect;Descriptor Extraction time;num Matched KeyPts;;;;
0;305;8.42425;45;0.873161;0;9.297411;0;11.35;53.21
1;348;11.2019;58;0.826748;26;12.028648;44.82758621;;
2;387;8.49693;74;0.8619;38;9.35883;51.35135135;;
3;460;9.04988;88;0.886023;46;9.935903;52.27272727;;
4;540;11.3116;124;0.95265;41;12.26425;33.06451613;;
5;412;11.2648;99;0.951721;56;12.216521;56.56565657;;
6;363;11.0794;72;0.849689;67;11.929089;93.05555556;;
7;757;11.1862;188;1.03065;39;12.21685;20.74468085;;
8;468;11.1844;115;0.936028;113;12.120428;98.26086957;;
9;387;11.1935;94;0.926573;77;12.120073;81.91489362;;
HARRIS;FREAK;MAT_BF;DES_BINARY;SEL_KNN;;;;;
Image Idx;num KeyPts;Detection time;num KeyPts Vehicle Rect;Descriptor Extraction time;num Matched KeyPts;;;;
0;305;11.1995;45;32.3636;0;43.5631;0;43.4;52.39
1;348;11.1538;58;29.87;30;41.0238;51.72413793;;
2;387;8.4795;74;29.9287;42;38.4082;56.75675676;;
3;460;8.94966;88;36.7414;43;45.69106;48.86363636;;
4;540;20.4112;124;43.9134;47;64.3246;37.90322581;;
5;412;8.68809;99;31.0281;66;39.71619;66.66666667;;
6;363;9.72258;72;30.9243;54;40.64688;75;;
7;757;8.69897;188;31.5086;37;40.20757;19.68085106;;
8;468;8.80863;115;31.1782;108;39.98683;93.91304348;;
9;387;8.81895;94;31.6371;69;40.45605;73.40425532;;
HARRIS;SIFT;MAT_BF;DES_HOG;SEL_KNN;;;;;
Image Idx;num KeyPts;Detection time;num KeyPts Vehicle Rect;Descriptor Extraction time;num Matched KeyPts;;;;
0;305;8.94063;45;11.3711;0;20.31173;0;21.35;40.65
1;348;8.87947;58;10.6353;20;19.51477;34.48275862;;
2;387;8.88745;74;12.0004;23;20.88785;31.08108108;;
3;460;8.72314;88;12.4381;42;21.16124;47.72727273;;
4;540;8.7605;124;13.5222;41;22.2827;33.06451613;;
5;412;8.74273;99;12.9272;43;21.66993;43.43434343;;
6;363;8.66599;72;12.1562;54;20.82219;75;;
7;757;8.72111;188;15.2616;31;23.98271;16.4893617;;
8;468;8.5384;115;13.1738;73;21.7122;63.47826087;;
9;387;8.47318;94;12.6393;58;21.11248;61.70212766;;
SIFT;BRISK;MAT_BF;DES_BINARY;SEL_KNN;;;;;
Image Idx;num KeyPts;Detection time;num KeyPts Vehicle Rect;Descriptor Extraction time;num Matched KeyPts;;;;
0;1437;84.8649;138;1.36962;0;86.23452;0;82.82;43
1;1371;97.985;132;1.31558;64;99.30058;48.48484848;;
2;1381;77.0084;124;1.28775;66;78.29615;53.22580645;;
3;1336;74.8208;138;1.38492;63;76.20572;45.65217391;;
4;1303;79.8586;134;1.33691;67;81.19551;50;;
5;1370;73.3327;140;1.40689;59;74.73959;42.14285714;;
6;1396;87.7077;137;1.36994;64;89.07764;46.71532847;;
7;1382;77.89;148;1.4293;64;79.3193;43.24324324;;
8;1462;83.827;159;1.5971;67;85.4241;42.13836478;;
9;1422;76.9942;137;1.45574;80;78.44994;58.39416058;;
SIFT;BRIEF;MAT_BF;DES_BINARY;SEL_KNN;;;;;
Image Idx;num KeyPts;Detection time;num KeyPts Vehicle Rect;Descriptor Extraction time;num Matched KeyPts;;;;
0;1437;77.7337;138;0.57815;0;78.31185;0;81;51.09
1;1371;76.1792;132;0.55788;86;76.73708;65.15151515;;
2;1381;91.6815;124;0.594236;78;92.275736;62.90322581;;
3;1336;76.2182;138;0.633546;77;76.851746;55.79710145;;
4;1303;79.5544;134;0.617979;86;80.172379;64.17910448;;
